session_id,nb_idles,nb_responses,nb_correct,nb_help,taux_reussite,temps_moyen_reponse,duree_secondes,nb_interactions,score_engagement,etat_affectif
aee04885-58ea-432c-8b0c-e4f788445e0e,0,2,2,0,1.0,6.5,90,2,0.66,neutre
ef0744c0-fd18-456d-aa8b-bf7fa1e01f9b,0,0,0,0,0,0,11,0,0.5,neutre
8dbcd9b5-efe7-4e76-9fb1-8bcc3198fba0,0,1,1,0,1.0,7.0,346,1,0.58,neutre
2a14cd29-a6d1-4e9a-8ba6-5de84a890620,0,0,0,0,0,0,6,0,0.5,neutre
eba789fe-8644-4f2b-a6f7-493bd7b96136,0,0,0,0,0,0,2,0,0.5,neutre
1716260b-dafc-4e32-8c09-104255d03359,0,1,1,0,1.0,15.0,50,1,0.58,neutre
5c1857ad-1a1e-4fbb-b4cd-030f98574fa2,0,0,0,0,0,0,9,0,0.5,neutre
6e999c1d-5c6e-4d1b-9693-627681d59f2e,0,1,1,0,1.0,4.0,858,1,0.58,neutre
31d69cde-4e83-48ff-8347-2030cc6431c9,0,1,1,0,1.0,5.0,269,1,0.58,neutre
4d41e5b8-2c93-41ea-82e3-67e9b75888da,1,4,1,0,0.25,47.8,205,28,0.543,neutre
485a8435-2d8c-4aea-9524-d34e69473084,0,1,1,0,1.0,5.0,17,1,0.58,neutre
3341c506-4e10-4bea-87ff-f776c0d428a5,0,2,1,0,0.5,9.5,35,2,0.52,neutre
6acd8a88-3fab-493a-af45-bf5411b4b1ea,0,8,8,0,1.0,13.9,154,86,0.805,engagement_eleve
c6b872b4-3b90-46cb-addf-79845cd65bc2,1,0,0,0,0,0,84,41,0.395,engagement_faible
6919f6ac-3ec9-4ae2-9504-d734dac6bfc0,0,0,0,0,0,0,10,0,0.5,neutre
820e8282-72b0-4904-9730-55f0fdc478c8,0,2,1,0,0.5,16.5,147,2,0.52,neutre
d75e13d7-21d6-4089-adce-86d9cf422cf9,2,19,15,0,0.789,18.2,478,253,0.761,ennui
0538ce4f-99b7-4f8b-8936-03fbd2f37630,0,0,0,0,0,0,30,0,0.5,neutre
d1b28890-c8db-4dcc-bee4-88a1c7fc9f45,0,0,0,0,0,0,18,0,0.5,neutre
e27e13f2-fa5d-4200-92c2-156f8feddf99,0,0,0,0,0,0,3,0,0.5,neutre
